table,cell,seed,method,sample,acc,nce
ER-Reg,sparse@0,0,proj_dcx,0,0.99,1030.0
ER-Reg,sparse@0,0,proj_dcx,1,0.992,1014.0
ER-Reg,sparse@0,0,proj_dcx,2,0.984,985.0
ER-Reg,sparse@0,0,proj_dcx,3,0.99,1016.0
ER-Reg,sparse@0,0,proj_dcx,4,0.984,975.0
ER-Reg,sparse@0,0,proj_dcx,5,0.978,987.0
ER-Reg,sparse@0,0,proj_dcx,6,0.972,963.0
ER-Reg,sparse@0,0,proj_dcx,7,0.982,1025.0
ER-Reg,sparse@0,0,proj_dcx,8,0.978,989.0
ER-Reg,sparse@0,0,proj_dcx,9,0.978,996.0
ER-Reg,sparse@0,0,proj_dcx,10,0.982,1024.0
ER-Reg,sparse@0,0,proj_dcx,11,0.982,963.0
ER-Reg,sparse@0,0,proj_dcx,12,0.972,979.0
ER-Reg,sparse@0,0,proj_dcx,13,0.984,1003.0
ER-Reg,sparse@0,0,proj_dcx,14,0.98,1031.0
ER-Reg,sparse@0,0,proj_dcx,15,0.984,1020.0
ER-Reg,sparse@0,0,proj_dcx,16,0.97,944.0
ER-Reg,sparse@0,0,proj_dcx,17,0.98,956.0
ER-Reg,sparse@0,0,proj_dcx,18,0.972,950.0
ER-Reg,sparse@0,0,proj_dcx,19,0.97,995.0
ER-Reg,sparse@0,0,proj_dcx,20,0.992,1025.0
ER-Reg,sparse@0,0,proj_dcx,21,0.984,991.0
ER-Reg,sparse@0,0,proj_dcx,22,0.976,997.0
ER-Reg,sparse@0,0,proj_dcx,23,0.988,1042.0
ER-Reg,sparse@0,0,proj_dcx,24,0.986,1025.0
ER-Reg,sparse@0,0,proj_dcx,25,0.976,972.0
ER-Reg,sparse@0,0,proj_dcx,26,0.986,1051.0
ER-Reg,sparse@0,0,proj_dcx,27,0.982,934.0
ER-Reg,sparse@0,0,proj_dcx,28,0.988,1006.0
ER-Reg,sparse@0,0,proj_dcx,29,0.98,929.0
ER-Reg,sparse@0,0,faq_dcx,0,0.984,1030.0
ER-Reg,sparse@0,0,faq_dcx,1,0.992,1014.0
ER-Reg,sparse@0,0,faq_dcx,2,0.982,985.0
ER-Reg,sparse@0,0,faq_dcx,3,0.99,1016.0
ER-Reg,sparse@0,0,faq_dcx,4,0.982,975.0
ER-Reg,sparse@0,0,faq_dcx,5,0.978,987.0
ER-Reg,sparse@0,0,faq_dcx,6,0.974,963.0
ER-Reg,sparse@0,0,faq_dcx,7,0.974,1025.0
ER-Reg,sparse@0,0,faq_dcx,8,0.98,989.0
ER-Reg,sparse@0,0,faq_dcx,9,0.986,996.0
ER-Reg,sparse@0,0,faq_dcx,10,0.986,1024.0
ER-Reg,sparse@0,0,faq_dcx,11,0.988,963.0
ER-Reg,sparse@0,0,faq_dcx,12,0.972,979.0
ER-Reg,sparse@0,0,faq_dcx,13,0.984,1003.0
ER-Reg,sparse@0,0,faq_dcx,14,0.982,1031.0
ER-Reg,sparse@0,0,faq_dcx,15,0.986,1020.0
ER-Reg,sparse@0,0,faq_dcx,16,0.972,944.0
ER-Reg,sparse@0,0,faq_dcx,17,0.976,956.0
ER-Reg,sparse@0,0,faq_dcx,18,0.98,950.0
ER-Reg,sparse@0,0,faq_dcx,19,0.974,995.0
ER-Reg,sparse@0,0,faq_dcx,20,0.992,1025.0
ER-Reg,sparse@0,0,faq_dcx,21,0.984,991.0
ER-Reg,sparse@0,0,faq_dcx,22,0.982,997.0
ER-Reg,sparse@0,0,faq_dcx,23,0.988,1042.0
ER-Reg,sparse@0,0,faq_dcx,24,0.988,1025.0
ER-Reg,sparse@0,0,faq_dcx,25,0.978,972.0
ER-Reg,sparse@0,0,faq_dcx,26,0.984,1051.0
ER-Reg,sparse@0,0,faq_dcx,27,0.984,934.0
ER-Reg,sparse@0,0,faq_dcx,28,0.992,1006.0
ER-Reg,sparse@0,0,faq_dcx,29,0.982,929.0
ER-Reg,sparse@0,0,fgnn_proj,0,1.0,1030.0
ER-Reg,sparse@0,0,fgnn_proj,1,1.0,1014.0
ER-Reg,sparse@0,0,fgnn_proj,2,1.0,985.0
ER-Reg,sparse@0,0,fgnn_proj,3,1.0,1016.0
ER-Reg,sparse@0,0,fgnn_proj,4,1.0,975.0
ER-Reg,sparse@0,0,fgnn_proj,5,1.0,987.0
ER-Reg,sparse@0,0,fgnn_proj,6,1.0,963.0
ER-Reg,sparse@0,0,fgnn_proj,7,1.0,1025.0
ER-Reg,sparse@0,0,fgnn_proj,8,1.0,989.0
ER-Reg,sparse@0,0,fgnn_proj,9,1.0,996.0
ER-Reg,sparse@0,0,fgnn_proj,10,1.0,1024.0
ER-Reg,sparse@0,0,fgnn_proj,11,1.0,963.0
ER-Reg,sparse@0,0,fgnn_proj,12,1.0,979.0
ER-Reg,sparse@0,0,fgnn_proj,13,1.0,1003.0
ER-Reg,sparse@0,0,fgnn_proj,14,1.0,1031.0
ER-Reg,sparse@0,0,fgnn_proj,15,1.0,1020.0
ER-Reg,sparse@0,0,fgnn_proj,16,1.0,944.0
ER-Reg,sparse@0,0,fgnn_proj,17,1.0,956.0
ER-Reg,sparse@0,0,fgnn_proj,18,1.0,950.0
ER-Reg,sparse@0,0,fgnn_proj,19,1.0,995.0
ER-Reg,sparse@0,0,fgnn_proj,20,1.0,1025.0
ER-Reg,sparse@0,0,fgnn_proj,21,1.0,991.0
ER-Reg,sparse@0,0,fgnn_proj,22,1.0,997.0
ER-Reg,sparse@0,0,fgnn_proj,23,1.0,1042.0
ER-Reg,sparse@0,0,fgnn_proj,24,1.0,1025.0
ER-Reg,sparse@0,0,fgnn_proj,25,1.0,972.0
ER-Reg,sparse@0,0,fgnn_proj,26,1.0,1051.0
ER-Reg,sparse@0,0,fgnn_proj,27,1.0,934.0
ER-Reg,sparse@0,0,fgnn_proj,28,1.0,1006.0
ER-Reg,sparse@0,0,fgnn_proj,29,1.0,929.0
ER-Reg,sparse@0,0,fgnn_faq,0,0.992,1030.0
ER-Reg,sparse@0,0,fgnn_faq,1,0.994,1014.0
ER-Reg,sparse@0,0,fgnn_faq,2,0.99,985.0
ER-Reg,sparse@0,0,fgnn_faq,3,0.99,1016.0
ER-Reg,sparse@0,0,fgnn_faq,4,0.982,975.0
ER-Reg,sparse@0,0,fgnn_faq,5,0.978,987.0
ER-Reg,sparse@0,0,fgnn_faq,6,0.972,963.0
ER-Reg,sparse@0,0,fgnn_faq,7,0.98,1025.0
ER-Reg,sparse@0,0,fgnn_faq,8,0.976,989.0
ER-Reg,sparse@0,0,fgnn_faq,9,0.98,996.0
ER-Reg,sparse@0,0,fgnn_faq,10,0.984,1024.0
ER-Reg,sparse@0,0,fgnn_faq,11,0.988,963.0
ER-Reg,sparse@0,0,fgnn_faq,12,0.97,979.0
ER-Reg,sparse@0,0,fgnn_faq,13,0.992,1003.0
ER-Reg,sparse@0,0,fgnn_faq,14,0.982,1031.0
ER-Reg,sparse@0,0,fgnn_faq,15,0.988,1020.0
ER-Reg,sparse@0,0,fgnn_faq,16,0.98,944.0
ER-Reg,sparse@0,0,fgnn_faq,17,0.984,956.0
ER-Reg,sparse@0,0,fgnn_faq,18,0.972,950.0
ER-Reg,sparse@0,0,fgnn_faq,19,0.972,995.0
ER-Reg,sparse@0,0,fgnn_faq,20,0.99,1025.0
ER-Reg,sparse@0,0,fgnn_faq,21,0.982,991.0
ER-Reg,sparse@0,0,fgnn_faq,22,0.98,997.0
ER-Reg,sparse@0,0,fgnn_faq,23,0.984,1042.0
ER-Reg,sparse@0,0,fgnn_faq,24,0.984,1025.0
ER-Reg,sparse@0,0,fgnn_faq,25,0.984,972.0
ER-Reg,sparse@0,0,fgnn_faq,26,0.982,1051.0
ER-Reg,sparse@0,0,fgnn_faq,27,0.982,934.0
ER-Reg,sparse@0,0,fgnn_faq,28,0.99,1006.0
ER-Reg,sparse@0,0,fgnn_faq,29,0.984,929.0
ER-Reg,sparse@0,0,chfgnn_proj,0,0.988,1030.0
ER-Reg,sparse@0,0,chfgnn_proj,1,0.992,1014.0
ER-Reg,sparse@0,0,chfgnn_proj,2,0.984,985.0
ER-Reg,sparse@0,0,chfgnn_proj,3,0.986,1016.0
ER-Reg,sparse@0,0,chfgnn_proj,4,0.988,975.0
ER-Reg,sparse@0,0,chfgnn_proj,5,0.982,987.0
ER-Reg,sparse@0,0,chfgnn_proj,6,0.974,963.0
ER-Reg,sparse@0,0,chfgnn_proj,7,0.978,1025.0
ER-Reg,sparse@0,0,chfgnn_proj,8,0.98,989.0
ER-Reg,sparse@0,0,chfgnn_proj,9,0.98,996.0
ER-Reg,sparse@0,0,chfgnn_proj,10,0.984,1024.0
ER-Reg,sparse@0,0,chfgnn_proj,11,0.988,963.0
ER-Reg,sparse@0,0,chfgnn_proj,12,0.97,979.0
